state,variable,year,raw
Wyoming,PK12ed,1999,640003
Alabama,PK12ed,2000,4006894
Alaska,PK12ed,2000,1133145
Arizona,PK12ed,2000,4185930
Arkansas,PK12ed,2000,2324123
California,PK12ed,2000,36658880
Colorado,PK12ed,2000,4149462
Connecticut,PK12ed,2000,4713226
Delaware,PK12ed,2000,915317
District of Columbia,PK12ed,2000,815299
Florida,PK12ed,2000,13255884
Georgia,PK12ed,2000,8850297
Hawaii,PK12ed,2000,953130
Idaho,PK12ed,2000,1226979
Illinois,PK12ed,2000,13629593
Indiana,PK12ed,2000,6084174
Iowa,PK12ed,2000,3068753
Kansas,PK12ed,2000,2779333
Kentucky,PK12ed,2000,3328959
Louisiana,PK12ed,2000,4242538
Maine,PK12ed,2000,1495241
Maryland,PK12ed,2000,5684437
Massachusetts,PK12ed,2000,7685285
Michigan,PK12ed,2000,12950110
Minnesota,PK12ed,2000,6046377
Mississippi,PK12ed,2000,2429256
Missouri,PK12ed,2000,5427270
Montana,PK12ed,2000,932721
Nebraska,PK12ed,2000,1719480
Nevada,PK12ed,2000,1797271
New Hampshire,PK12ed,2000,1361347
New Jersey,PK12ed,2000,13302198
New Mexico,PK12ed,2000,1834042
New York,PK12ed,2000,29667076
North Carolina,PK12ed,2000,7450908
North Dakota,PK12ed,2000,621099
Ohio,PK12ed,2000,12338342
Oklahoma,PK12ed,2000,3282954
Oregon,PK12ed,2000,3687055
Pennsylvania,PK12ed,2000,14094022
Rhode Island,PK12ed,2000,1293956
South Carolina,PK12ed,2000,3918095
South Dakota,PK12ed,2000,701439
Tennessee,PK12ed,2000,4806620
Texas,PK12ed,2000,22983040
Utah,PK12ed,2000,2078020
Vermont,PK12ed,2000,827900
Virginia,PK12ed,2000,8024813
Washington,PK12ed,2000,6205786
West Virginia,PK12ed,2000,1984755
Wisconsin,PK12ed,2000,6649884
Wyoming,PK12ed,2000,672297
Alabama,PK12ed,2001,4140052.5
Alaska,PK12ed,2001,1188460.5
Arizona,PK12ed,2001,4427480.5
Arkansas,PK12ed,2001,2451202
California,PK12ed,2001,41025508
Colorado,PK12ed,2001,4487114
Connecticut,PK12ed,2001,5027140
Delaware,PK12ed,2001,974989.5
District of Columbia,PK12ed,2001,910714.5
Florida,PK12ed,2001,14015765
Georgia,PK12ed,2001,9645792
Hawaii,PK12ed,2001,1129801.5
Idaho,PK12ed,2001,1330691
Illinois,PK12ed,2001,14146961
Indiana,PK12ed,2001,6399746.5
Iowa,PK12ed,2001,3103548.5
Kansas,PK12ed,2001,2948670.5
Kentucky,PK12ed,2001,3494221
Louisiana,PK12ed,2001,4477461.5
Maine,PK12ed,2001,1562186.5
Maryland,PK12ed,2001,6217327
Massachusetts,PK12ed,2001,8282041
Michigan,PK12ed,2001,13119811
Minnesota,PK12ed,2001,6150938
Mississippi,PK12ed,2001,2493235
Missouri,PK12ed,2001,5833379
Montana,PK12ed,2001,971995.5
Nebraska,PK12ed,2001,1861031.5
Nevada,PK12ed,2001,1934425
New Hampshire,PK12ed,2001,1469713
New Jersey,PK12ed,2001,13820710
New Mexico,PK12ed,2001,1960039
New York,PK12ed,2001,31398412
North Carolina,PK12ed,2001,7818608
North Dakota,PK12ed,2001,635597
Ohio,PK12ed,2001,13021845
Oklahoma,PK12ed,2001,3536054.5
Oregon,PK12ed,2001,3900159.5
Pennsylvania,PK12ed,2001,13935164
Rhode Island,PK12ed,2001,1402344.5
South Carolina,PK12ed,2001,4254415.5
South Dakota,PK12ed,2001,737159.5
Tennessee,PK12ed,2001,4993365
Texas,PK12ed,2001,24460490
Utah,PK12ed,2001,2215334
Vermont,PK12ed,2001,841559
Virginia,PK12ed,2001,8517032
Washington,PK12ed,2001,6468907.5
West Virginia,PK12ed,2001,2025897
Wisconsin,PK12ed,2001,7021194
Wyoming,PK12ed,2001,711298
Alabama,PK12ed,2002,4273211
Alaska,PK12ed,2002,1243776
Arizona,PK12ed,2002,4669031
Arkansas,PK12ed,2002,2578281
California,PK12ed,2002,45392132
Colorado,PK12ed,2002,4824766
Connecticut,PK12ed,2002,5341054
Delaware,PK12ed,2002,1034662
District of Columbia,PK12ed,2002,1006130
Florida,PK12ed,2002,14775646
Georgia,PK12ed,2002,10441286
Hawaii,PK12ed,2002,1306473
Idaho,PK12ed,2002,1434403
Illinois,PK12ed,2002,14664329
Indiana,PK12ed,2002,6715319
Iowa,PK12ed,2002,3138344
Kansas,PK12ed,2002,3118008
Kentucky,PK12ed,2002,3659483
