school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
Rutgers University--Camden (NJ),public,41,2.7,209,86,52,58,6,52,62,95,42,8,15,323,1000,1180,15,71,117,4
St. John Fisher College (NY),private,41,2.1,127,86,63,73,10,67,125,136,44,1,12,204,1080,1250,24,64,244,8
University of Alabama--Birmingham,public,41,2.9,242,82,62,58,-4,48,147,271,41,17,19,143,21,29,28,92,33,7
University of Central Florida,public,41,2.8,127,90,62,73,11,70,70,362,26,25,30,113,1160,1340,34,43,350,3
University of Hawaii--Manoa,public,41,2.8,226,78,62,59,-3,56,134,147,52,12,10,211,1055,1240,25,83,58,5
Univ. of Maryland--Baltimore County,public,41,3,167,87,66,68,2,67,204,309,36,13,19,113,1190,1360,23,58,183,4
University of Rhode Island,public,41,2.9,176,84,62,67,5,61,204,147,45,10,16,301,1090,1260,18,71,211,5
Washington State University,public,41,3.1,195,79,60,59,-1,51,176,256,33,21,16,215,1020,1210,38,77,148,12
Gallaudet University (DC),private,40,2.9,313,71,51,47,-4,46,45,30,97,0,6,375,15,20,NA,57,18,NA
Missouri Univ. of Science & Tech--Rolla.,public,40,2.7,182,84,71,63,-8,54,254,160,46,16,19,74,25,31,40,84,231,11
St. John's University (NY),private,40,2.8,209,83,60,61,1,58,39,182,32,5,17,190,1070,1270,21,73,244,4
University of Detroit Mercy,private,40,2.2,176,85,61,65,4,54,224,77,54,4,11,215,1050,1250,19,83,117,8
University of Idaho,public,40,2.8,230,80,57,59,2,53,105,110,55,9,15,265,1010,1220,18,77,132,9
Univ. of Massachusetts--Lowell,public,40,2.5,203,86,61,63,2,56,147,136,47,7,17,143,1150,1320,25,72,183,11
Biola University (CA),private,39,2,127,86,70,73,3,69,34,256,54,5,14,170,1060,1260,47,87,219,6
Chatham University (PA),private,39,2.3,219,81,62,63,1,56,42,136,65,2,10,215,1040,1250,29,55,132,11
Ohio University,public,39,3,187,80,58,64,6,54,297,300,32,16,17,184,21,26,17,78,219,4
Pacific University (OR),private,39,2.4,187,79,62,65,3,52,186,120,58,3,11,215,1060,1250,NA,85,164,8
Union University (TN),private,39,1.9,150,86,69,70,1,57,96,48,75,0,9,101,23,30,34,57,283,3
University of Houston,public,39,2.9,230,85,59,59,NA,56,27,328,25,24,22,152,1130,1310,32,62,254,12
University of North Carolina--Wilmington,public,39,2.6,127,85,67,73,6,69,234,290,32,8,17,143,23,27,24,61,350,5
Ball State University (IN),public,38,2.6,195,81,58,62,4,57,53,246,41,6,17,215,1080,1240,18,62,276,10
Misericordia University (PA),private,38,1.9,127,83,58,69,11,61,204,160,51,0,11,265,1040,1200,20,83,244,12
Oklahoma State University,public,38,2.9,195,81,65,61,-4,48,265,246,38,15,19,159,22,28,27,74,219,9
Seattle Pacific University,private,38,2.4,150,82,61,68,7,59,176,227,54,3,13,295,1030,1240,1,90,200,4
