school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
Mississippi College,NA,NA,2,NA,NA,53,NA,NA,303,NA,NA,3,33,NA,NA,5,NA,NA,NA,NA,NA
Missouri State University,NA,NA,2.4,NA,8,54,NA,NA,75,NA,NA,NA,22,NA,NA,5,NA,NA,NA,NA,NA
Morgan State University (MD),NA,NA,2.2,NA,NA,39,NA,NA,108,NA,NA,NA,7,NA,NA,16,NA,NA,NA,NA,NA
National Louis University (IL),NA,NA,1.9,NA,8,40,6,NA,328,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona University,NA,NA,2.5,NA,NA,52,NA,NA,224,NA,NA,2,21,NA,NA,3,NA,NA,NA,NA,NA
Northern Illinois University,NA,NA,2.4,NA,NA,46,NA,NA,200,NA,NA,NA,12,NA,NA,4,NA,NA,NA,NA,NA
Northern Kentucky University,NA,NA,2.2,NA,NA,44,NA,NA,354,NA,NA,NA,12,4,NA,4,NA,NA,NA,NA,NA
Oakland University (MI),NA,NA,2.2,NA,NA,55,NA,NA,234,NA,NA,NA,21,NA,NA,3,NA,NA,NA,NA,NA
Our Lady of the Lake University (TX),NA,NA,1.8,NA,NA,37,NA,NA,49,NA,NA,NA,14,NA,NA,12,NA,NA,NA,NA,NA
Palm Beach Atlantic University (FL),NA,NA,1.7,NA,NA,54,NA,NA,165,NA,NA,NA,16,4,NA,2,NA,NA,NA,NA,NA
Portland State University (OR),NA,NA,2.6,NA,NA,47,NA,NA,26,NA,NA,2,16,NA,NA,1,NA,NA,NA,NA,NA
Roosevelt University (IL),NA,NA,2.2,NA,NA,39,NA,NA,165,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA
Southern Illinois University--Edwardsville,NA,NA,2.1,NA,NA,47,NA,NA,315,NA,NA,NA,19,NA,NA,3,NA,NA,NA,NA,NA
Spalding University (KY),1,NA,1.8,NA,8,45,6,NA,270,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA
Stephen F. Austin State University (TX),1,NA,2.3,NA,8,43,8,NA,125,NA,NA,4,13,4,4,3,NA,NA,NA,NA,NA
Tennessee State University,NA,NA,2.1,NA,8,30,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas A&M University--Commerce,NA,NA,2.2,NA,NA,43,NA,NA,165,NA,NA,NA,16,NA,NA,3,NA,NA,NA,NA,NA
Texas A&M University--Corpus Christi,NA,NA,2.2,NA,NA,37,NA,NA,241,NA,NA,NA,14,NA,NA,4,NA,NA,NA,NA,NA
Texas A&M Univ.--Kingsville,NA,NA,2.1,NA,NA,37,NA,NA,165,NA,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA
Texas Southern University,NA,NA,2.1,NA,NA,21,NA,NA,204,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA
Texas State University,NA,NA,2.2,NA,NA,55,NA,NA,138,NA,NA,NA,13,NA,NA,4,NA,NA,NA,NA,NA
Texas Wesleyan University,NA,NA,2.1,NA,NA,38,NA,NA,159,NA,NA,NA,10,NA,NA,7,NA,NA,NA,NA,NA
Texas Woman's University,NA,NA,2.3,NA,NA,43,NA,NA,200,NA,NA,2,18,NA,NA,2,NA,NA,NA,NA,NA
Touro College (NY),NA,NA,1.8,NA,NA,45,NA,NA,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevecca Nazarene University (TN),NA,NA,1.7,NA,8,55,NA,NA,147,NA,NA,3,22,NA,NA,5,NA,NA,NA,NA,NA
Trinity International University (IL),NA,NA,1.8,NA,NA,46,NA,NA,125,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA
University of Akron (OH),NA,NA,2.2,NA,NA,45,NA,NA,335,NA,NA,NA,16,NA,NA,3,NA,NA,NA,NA,NA
University of Arkansas--Little Rock,NA,NA,2.4,NA,NA,35,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Bridgeport (CT),NA,NA,1.9,NA,NA,42,NA,NA,119,NA,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA
University of Central Arkansas,NA,NA,2.1,NA,NA,41,NA,NA,270,NA,NA,NA,21,NA,NA,6,NA,NA,NA,NA,NA
University of Charleston (WV),NA,NA,2.3,NA,NA,46,NA,NA,377,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA
University of Colorado--Colorado Springs,NA,NA,2.7,NA,NA,45,NA,NA,265,NA,NA,NA,13,NA,NA,5,NA,NA,NA,NA,NA
University of Hawaii--Hilo,NA,NA,2.5,NA,8,41,NA,NA,119,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
University of Louisiana--Lafayette,NA,NA,2.2,NA,NA,45,6,4,254,NA,NA,NA,20,NA,NA,5,NA,NA,NA,NA,NA
University of Louisiana--Monroe,NA,NA,2,NA,NA,43,NA,NA,147,NA,NA,NA,20,NA,NA,3,NA,NA,NA,NA,NA
University of Mary (ND),NA,NA,1.8,NA,8,53,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Univ. of Maryland--Eastern Shore,NA,NA,2.1,NA,NA,39,NA,NA,53,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
University of Michigan--Flint,NA,NA,2.3,NA,NA,46,NA,NA,214,NA,NA,NA,15,NA,NA,1,NA,NA,NA,NA,NA
University of Nebraska--Omaha,NA,NA,2.6,NA,NA,49,NA,NA,254,NA,NA,NA,17,NA,NA,5,NA,NA,NA,NA,NA
University of Nevada--Las Vegas,NA,NA,2.6,NA,NA,43,NA,NA,115,NA,NA,NA,22,NA,NA,4,NA,NA,NA,NA,NA
University of New Orleans,NA,NA,2.2,NA,NA,37,NA,NA,214,NA,NA,NA,17,NA,NA,4,NA,NA,NA,NA,NA
University of Northern Colorado,NA,NA,2.4,NA,NA,47,NA,NA,204,NA,NA,NA,12,NA,NA,3,NA,NA,NA,NA,NA
University of South Alabama,NA,NA,2.1,NA,NA,43,NA,NA,224,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Univ. of Southern Mississippi,NA,NA,2.3,NA,NA,49,NA,NA,165,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
University of Tennessee--Chattanooga,NA,NA,2.5,NA,NA,48,NA,NA,214,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
University of Texas--Arlington,NA,NA,2.6,NA,NA,49,NA,NA,20,NA,NA,NA,28,NA,NA,1,NA,NA,NA,NA,NA
University of Texas--El Paso,NA,NA,2.5,NA,NA,39,NA,NA,80,NA,NA,2,18,NA,NA,3,NA,NA,NA,NA,NA
University of Texas--Rio Grande Valley,NA,NA,2.2,NA,8,42,6,NA,17,NA,NA,NA,22,NA,NA,0,30,NA,NA,NA,NA
University of Texas--San Antonio,NA,NA,2.5,NA,NA,40,NA,NA,62,NA,NA,NA,18,NA,NA,6,NA,NA,NA,NA,NA
University of Texas--Tyler,NA,NA,2.1,NA,NA,45,NA,NA,119,NA,NA,NA,12,NA,NA,0,40,NA,NA,NA,NA
University of the Cumberlands (KY),1,NA,1.8,NA,8,40,6,NA,17,NA,NA,4,11,4,4,NA,NA,NA,NA,NA,NA
University of Toledo (OH),NA,NA,2.4,NA,NA,47,NA,NA,297,NA,NA,NA,20,NA,NA,5,NA,NA,NA,NA,NA
University of West Georgia,NA,NA,2.1,NA,NA,42,NA,NA,53,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Univ. of Wisconsin--Milwaukee,NA,NA,2.8,NA,NA,44,NA,NA,291,NA,NA,2,10,NA,NA,3,NA,NA,NA,NA,NA
Valdosta State University (GA),NA,NA,2.1,NA,NA,42,NA,NA,125,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Washburn University (KS),NA,NA,2.2,NA,NA,36,6,4,370,NA,NA,NA,13,NA,NA,9,NA,NA,NA,NA,NA
Western Kentucky University,NA,NA,2.2,NA,NA,53,NA,NA,303,NA,NA,NA,22,NA,NA,7,NA,NA,NA,NA,NA
Wichita State University (KS),NA,NA,2.4,NA,NA,47,NA,NA,303,NA,NA,2,19,NA,NA,7,NA,NA,NA,NA,NA
William Woods University (MO),NA,NA,1.8,NA,NA,60,NA,NA,165,NA,NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA
Wingate University (NC),NA,NA,2,NA,NA,51,NA,NA,125,NA,NA,NA,15,NA,NA,10,NA,NA,NA,NA,NA
Wright State University (OH),NA,NA,2.3,NA,NA,39,NA,NA,348,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Definition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School refused to fill out U.S. News statistical survey. Data that appear are from school in previous years or from another source such as the National Center for Education Statistics.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACT and/or SAT not required by school for some or all applicants.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In reporting ACT/SAT scores, the school did not include all students for whom it had scores or refused to tell U.S. News whether all students with scores had been included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Data reported to U.S. News in previous years.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Data based on fewer than 20 percent of enrolled first-year students.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Some or all data reported to the National Center for Education Statistics.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School declined to have a school official verify the  accuracy of the information contained in the U.S. News Main Statistical Survey.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"This rate, normally baed on four years of data, is given here for less than four years because school didn't report rate for the most recent year or years to U.S. News.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACT and/or SAT may not be required by school for some or all applicants, and in reporting SAT/ACT scores, the school did not include all students for whom it had scores or refused to tell U.S. News whether all students with scores had been included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
